5,3.66
3.7,3.66
5,3.67
5,3.66
5,3.66
5,3.66
0.52,3.66
0.52,3.66
0.52,3.66
5,3.67
0.52,3.67
0.52,3.67
0.52,3.67
0.52,3.67
0.53,3.67
0.53,3.67
0.53,3.67
0.54,3.68
5,3.68
5,3.69
5,3.7
5,3.7
0.67,3.71
5,3.71
5,3.72
5,3.73
5,3.73
5,3.74
5,3
5,3
5,3
5,3
5,3.77
5,3.78
5,3.79
5,3.83
5,5
5,5
0.72,5
5,5
2.55,5
5,5
5,5
0.79,5
5,5
5,5
0.81,5
5,5
0.81,5
0.85,0.83
0.82,0.85
0.83,5
0.84,0.86
0.85,0.88
0.87,0.9
0.89,5
0.9,4.64
0.91,4.64
0.94,4.64
0.95,4.64
0.97,4.64
0.99,4.64
1.02,4.64
1.03,4.64
1.05,4.65
1.07,4.65
1.08,4.65
1.1,5
1.12,5
1.14,5
2.14,5
1.18,4.66
2.32,4.66
2.34,4.67
1.24,4.67
1.24,4.66
1.27,4.67
1.28,4.67
1.29,4.67
2.21,4.68
2.39,4.68
1.32,4.68
1.31,5
1.3,1.34
1.3,1.34
1.3,1.34
1.3,1.34
1.3,1.33
1.32,1.33
1.32,1.34
1.32,1.33
1.32,1.33
1.32,1.33
1.32,1.33
1.32,1.33
1.32,1.33
1.32,1.33
1.32,1.33
1.32,1.33
1.32,1.36
1.33,1.37
1.33,1.33
1.33,1.33
1.34,1.33
5,1.33
1.34,1.33
1.35,1.33
1.35,1.34
5,1.28
5,1.34
5,1.35
5,1.38
5,5
1.29,1.36
1.26,1.36
1.25,1.28
1.25,1.36
1.26,1.36
1.26,1.37
1.26,1.36
1.26,1.36
1.27,1.36
1.27,1.37
1.27,1.29
1.28,1.3
1.3,1.31
1.31,1.32
1.32,1.33
1.34,1.35
1.35,1.36
1.37,1.38
